#region irank jrank  MPI_call buffer_size ncalls total_time min_time max_time
ipm_noregion 5 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 8 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 7 0 MPI_Comm_rank 0 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 6 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 10 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 9 0 MPI_Comm_rank 0 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 11 0 MPI_Comm_rank 0 1 4.0531e-06 4.0531e-06 4.0531e-06
ipm_noregion 1 0 MPI_Comm_rank 0 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 3 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 2 0 MPI_Comm_rank 0 1 4.0531e-06 4.0531e-06 4.0531e-06
ipm_noregion 4 0 MPI_Comm_rank 0 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 0 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 0 1 MPI_Sendrecv 167772160 7 4.0860e+00 3.5724e-01 1.1013e+00
ipm_noregion 10 9 MPI_Sendrecv 167772160 7 1.1249e+00 1.1419e-01 2.5457e-01
ipm_noregion 10 11 MPI_Sendrecv 167772160 7 1.7779e+00 2.2196e-01 2.7692e-01
ipm_noregion 9 10 MPI_Sendrecv 167772160 7 2.0252e+00 1.1637e-01 1.0813e+00
ipm_noregion 9 8 MPI_Sendrecv 167772160 7 1.7342e+00 1.4475e-01 4.0298e-01
ipm_noregion 6 7 MPI_Sendrecv 167772160 7 1.5300e+00 1.0297e-01 7.8284e-01
ipm_noregion 6 5 MPI_Sendrecv 167772160 7 2.2535e+00 2.1301e-01 3.9921e-01
ipm_noregion 1 0 MPI_Sendrecv 167772160 7 5.6277e-01 5.6937e-02 1.1711e-01
ipm_noregion 1 2 MPI_Sendrecv 167772160 7 3.2022e+00 1.2646e-01 9.6992e-01
ipm_noregion 11 10 MPI_Sendrecv 167772160 7 4.5807e+00 5.0179e-01 1.1238e+00
ipm_noregion 3 2 MPI_Sendrecv 167772160 7 5.9141e-01 5.3860e-02 2.0271e-01
ipm_noregion 3 4 MPI_Sendrecv 167772160 7 3.9941e+00 2.8934e-01 1.4749e+00
ipm_noregion 4 3 MPI_Sendrecv 167772160 7 1.8702e+00 1.5106e-01 3.1414e-01
ipm_noregion 4 5 MPI_Sendrecv 167772160 7 1.0618e+00 1.2402e-01 2.3383e-01
ipm_noregion 2 3 MPI_Sendrecv 167772160 7 3.4356e+00 2.6814e-01 1.0073e+00
ipm_noregion 2 1 MPI_Sendrecv 167772160 7 1.0631e+00 5.1944e-02 6.9402e-01
