#region irank jrank  MPI_call buffer_size ncalls total_time min_time max_time
ipm_noregion 9 0 MPI_Comm_rank 0 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 6 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 8 0 MPI_Comm_rank 0 1 4.0531e-06 4.0531e-06 4.0531e-06
ipm_noregion 2 0 MPI_Comm_rank 0 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 5 0 MPI_Comm_rank 0 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 4 0 MPI_Comm_rank 0 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 0 0 MPI_Comm_rank 0 1 4.0531e-06 4.0531e-06 4.0531e-06
ipm_noregion 11 0 MPI_Comm_rank 0 1 3.8147e-06 3.8147e-06 3.8147e-06
ipm_noregion 1 0 MPI_Comm_rank 0 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 7 0 MPI_Comm_rank 0 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 3 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 10 0 MPI_Comm_rank 0 1 4.0531e-06 4.0531e-06 4.0531e-06
ipm_noregion 6 5 MPI_Isend 167772160 7 7.8678e-05 5.0068e-06 2.1935e-05
ipm_noregion 6 7 MPI_Isend 167772160 7 1.0371e-04 5.9605e-06 5.2929e-05
ipm_noregion 9 10 MPI_Isend 167772160 7 4.4115e+00 1.2961e-01 3.2201e+00
ipm_noregion 9 8 MPI_Isend 167772160 7 1.2898e-04 5.0068e-06 4.9114e-05
ipm_noregion 4 5 MPI_Isend 167772160 7 1.1683e-04 5.0068e-06 4.8876e-05
ipm_noregion 4 3 MPI_Isend 167772160 7 8.9169e-05 5.9605e-06 2.5034e-05
ipm_noregion 5 6 MPI_Isend 167772160 7 7.8201e-05 5.9605e-06 2.6941e-05
ipm_noregion 5 4 MPI_Isend 167772160 7 1.2612e-04 6.9141e-06 4.8161e-05
ipm_noregion 8 9 MPI_Isend 167772160 7 1.0610e-04 5.0068e-06 4.7922e-05
ipm_noregion 8 7 MPI_Isend 167772160 7 1.0085e-04 5.9605e-06 2.4080e-05
ipm_noregion 2 3 MPI_Isend 167772160 7 1.2064e-04 5.9605e-06 5.1022e-05
ipm_noregion 2 1 MPI_Isend 167772160 7 8.6069e-05 5.0068e-06 2.1935e-05
ipm_noregion 7 6 MPI_Isend 167772160 7 1.0276e-04 6.9141e-06 4.4823e-05
ipm_noregion 7 8 MPI_Isend 167772160 7 8.8692e-05 4.0531e-06 2.2888e-05
ipm_noregion 1 0 MPI_Isend 167772160 7 9.7275e-05 5.0068e-06 4.6015e-05
ipm_noregion 1 2 MPI_Isend 167772160 7 9.1553e-05 6.9141e-06 2.4080e-05
ipm_noregion 11 10 MPI_Isend 167772160 7 5.0054e+00 9.8776e-02 3.7426e+00
ipm_noregion 0 1 MPI_Isend 167772160 7 8.6069e-05 4.0531e-06 4.9114e-05
ipm_noregion 10 9 MPI_Isend 167772160 7 2.5394e+00 1.1913e-01 5.1701e-01
ipm_noregion 10 11 MPI_Isend 167772160 7 6.9504e-01 6.8250e-02 1.9134e-01
